City,Temperature,Humidity,Cloudiness,WindSpeed,Latitude
jamestown,55.13,71,44,11.88,-33.21
caravelas,73.58,100,88,9.86,-17.73
rikitea,73.67,100,12,11.54,-23.12
saskylakh,67.46,71,0,6.89,71.97
ushuaia,32.0,100,0,8.05,-54.81
goya,55.76,96,100,20.04,-29.14
zunyi,75.65,88,92,3.04,27.73
punta arenas,33.8,100,0,6.93,-53.16
grand gaube,69.8,73,75,3.36,-20.01
provideniya,50.0,81,90,8.95,64.42
dunedin,42.89,95,0,3.04,-45.87
champaign,71.6,100,1,3.36,40.12
bredasdorp,37.4,93,64,2.24,-34.53
saint-ambroise,62.6,88,90,3.71,47.25
dingle,77.63,95,92,12.82,11.0
hithadhoo,78.8,100,44,1.48,-0.6
atuona,77.27,100,92,21.94,-9.8
busselton,63.14,91,44,26.64,-33.64
karatuzskoye,73.31,66,0,3.6,53.61
saldanha,52.25,89,0,2.86,41.42
bonfim,64.4,82,0,8.05,-20.33
tuktoyaktuk,41.0,100,90,19.46,69.44
bluff,72.32,20,0,4.76,-23.58
puerto ayora,69.44,100,20,10.36,-0.74
barrow,49.01,98,92,24.45,-38.31
redlands,102.2,21,20,8.05,34.06
tautira,78.8,69,75,10.29,-17.73
carnarvon,22.1,73,0,7.34,-30.97
sistranda,60.8,77,0,9.17,63.73
mount barker,59.0,62,20,14.99,-35.06
airai,78.8,59,92,1.97,-8.93
east london,50.0,100,0,13.87,-33.02
fortuna,78.8,94,20,2.37,38.18
georgetown,77.0,88,0,4.7,6.8
nouadhibou,68.0,94,75,4.7,20.93
begles,66.2,93,90,5.82,44.81
shirokiy,63.5,75,0,14.56,53.87
jimenez,73.67,100,12,2.82,8.54
paso de los toros,57.29,93,88,13.67,-32.81
tikhvin,63.41,71,0,3.49,59.64
hillerod,73.4,73,0,16.11,55.93
cape town,37.4,93,20,1.12,-33.93
qaanaaq,35.69,98,36,5.32,77.48
leh,48.38,74,64,1.03,34.16
esperance,78.8,94,75,3.36,10.24
castro,38.39,100,20,6.11,-42.48
amapa,73.4,100,75,4.7,15.09
san patricio,65.3,90,92,3.27,-26.98
livingstonia,68.27,79,0,1.52,-10.61
tiksi,61.25,68,0,12.88,71.64
hammerfest,48.2,87,75,19.46,70.66
sola,64.4,72,0,5.82,58.89
kalmunai,88.61,65,36,3.83,7.42
cherskiy,48.65,62,0,7.9,68.75
saint-philippe,75.2,88,20,8.05,45.36
ukiah,78.8,36,1,2.48,39.15
olinda,71.6,78,0,11.41,-2.03
ilulissat,57.2,50,92,16.11,69.22
